file_path,emotion_code,emotion_name,intensity,valence,arousal,actor
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,1,neutral,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,1,neutral,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,1,neutral,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,1,neutral,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,2,calm,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,2,calm,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,2,calm,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,2,calm,1,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,2,calm,2,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,2,calm,2,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,2,calm,2,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,2,calm,2,1,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,3,happy,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,3,happy,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,3,happy,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,3,happy,1,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,3,happy,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,3,happy,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,3,happy,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,3,happy,2,1,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,4,sad,1,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,4,sad,1,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,4,sad,1,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,4,sad,1,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,4,sad,2,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,4,sad,2,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,4,sad,2,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,4,sad,2,0,0,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,5,angry,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,5,angry,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,5,angry,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,5,angry,1,0,1,1
../data/ravdess/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,5,angry,2,0,1,1
